epsilon,ligand_monomer_count,row_type,sample_index,z_value
5.0,1.0,sampled_point,,0.5961045622825623
5.0,3.0,sampled_point,,0.5988712906837463
5.0,5.0,sampled_point,,0.5964183807373047
10.0,1.0,sampled_point,,0.594864010810852
10.0,3.0,sampled_point,,0.6384126543998718
10.0,5.0,sampled_point,,0.7370591759681702
15.0,1.0,sampled_point,,0.7414637804031372
15.0,3.0,sampled_point,,0.7521892189979553
15.0,5.0,sampled_point,,0.7386301159858704
20.0,1.0,sampled_point,,0.7146275043487549
20.0,3.0,sampled_point,,0.6474615931510925
20.0,5.0,sampled_point,,0.665070652961731
