subplot_epsilon,ligand_monomer_count,series_label,point_index,x_raw,y_mean,y_std
5,1,monoligand (N=1),0,12.5,6.127450980392157e-05,0.000106131
5,1,monoligand (N=1),1,15,6.127450980392157e-05,0.000106131
5,1,monoligand (N=1),2,17.5,0,0
5,1,monoligand (N=1),3,20,3.0637254901960784e-05,8.10585573242828e-05
5,1,monoligand (N=1),4,22.5,6.127450980392157e-05,0.000106131
5,1,monoligand (N=1),5,25,3.0637254901960784e-05,8.10585573242828e-05
5,1,monoligand (N=1),6,27.5,6.127450980392157e-05,0.000162117
5,1,monoligand (N=1),7,30,9.191176470588235e-05,0.000118658
5,1,monoligand (N=1),8,32.5,3.0637254901960784e-05,8.10585573242828e-05
5,1,monoligand (N=1),9,35,0,0
5,1,monoligand (N=1),10,37.5,6.127450980392157e-05,0.000106131
5,1,monoligand (N=1),11,40,3.0637254901960784e-05,8.10585573242828e-05
5,1,monoligand (N=1),12,42.5,6.127450980392157e-05,0.000106131
5,1,monoligand (N=1),13,45,6.127450980392157e-05,0.000106131
5,1,monoligand (N=1),14,47.5,6.127450980392157e-05,0.000106131
5,1,monoligand (N=1),15,50,6.127450980392157e-05,0.000106131
5,1,monoligand (N=1),16,52.5,3.0637254901960784e-05,8.10585573242828e-05
5,1,monoligand (N=1),17,55,3.0637254901960784e-05,8.10585573242828e-05
5,1,monoligand (N=1),18,57.5,0,0
5,1,monoligand (N=1),19,60,6.127450980392157e-05,0.000106131
5,1,monoligand (N=1),20,62.5,0,0
5,3,polyligand (N=3),0,12.5,3.0637254901960784e-05,8.10585573242828e-05
5,3,polyligand (N=3),1,15,6.127450980392157e-05,0.000162117
5,3,polyligand (N=3),2,17.5,6.127450980392157e-05,0.000106131
5,3,polyligand (N=3),3,20,0,0
5,3,polyligand (N=3),4,22.5,6.127450980392157e-05,0.000106131
5,3,polyligand (N=3),5,25,0,0
5,3,polyligand (N=3),6,27.5,3.0637254901960784e-05,8.10585573242828e-05
5,3,polyligand (N=3),7,30,0,0
5,3,polyligand (N=3),8,32.5,3.0637254901960784e-05,8.10585573242828e-05
5,3,polyligand (N=3),9,35,0,0
5,3,polyligand (N=3),10,37.5,3.0637254901960784e-05,8.10585573242828e-05
5,3,polyligand (N=3),11,40,0,0
5,3,polyligand (N=3),12,42.5,9.191176470588235e-05,0.000118658
5,3,polyligand (N=3),13,45,6.127450980392157e-05,0.000162117
5,3,polyligand (N=3),14,47.5,6.127450980392157e-05,0.000106131
5,3,polyligand (N=3),15,50,3.0637254901960784e-05,8.10585573242828e-05
5,3,polyligand (N=3),16,52.5,6.127450980392157e-05,0.000106131
5,3,polyligand (N=3),17,55,9.191176470588235e-05,0.000118658
5,3,polyligand (N=3),18,57.5,0,0
5,3,polyligand (N=3),19,60,0,0
5,3,polyligand (N=3),20,62.5,6.127450980392157e-05,0.000106131
5,5,polyligand (N=5),0,12.5,0,0
5,5,polyligand (N=5),1,15,3.0637254901960784e-05,8.10585573242828e-05
5,5,polyligand (N=5),2,17.5,6.127450980392157e-05,0.000106131
5,5,polyligand (N=5),3,20,3.0637254901960784e-05,8.10585573242828e-05
5,5,polyligand (N=5),4,22.5,3.0637254901960784e-05,8.10585573242828e-05
5,5,polyligand (N=5),5,25,6.127450980392157e-05,0.000162117
5,5,polyligand (N=5),6,27.5,6.127450980392157e-05,0.000106131
5,5,polyligand (N=5),7,30,6.127450980392157e-05,0.000106131
5,5,polyligand (N=5),8,32.5,6.127450980392157e-05,0.000106131
5,5,polyligand (N=5),9,35,0,0
5,5,polyligand (N=5),10,37.5,3.0637254901960784e-05,8.10585573242828e-05
5,5,polyligand (N=5),11,40,0,0
5,5,polyligand (N=5),12,42.5,9.191176470588235e-05,0.000170581
5,5,polyligand (N=5),13,45,6.127450980392157e-05,0.000106131
5,5,polyligand (N=5),14,47.5,3.0637254901960784e-05,8.10585573242828e-05
5,5,polyligand (N=5),15,50,0,0
5,5,polyligand (N=5),16,52.5,6.127450980392157e-05,0.000162117
5,5,polyligand (N=5),17,55,3.0637254901960784e-05,8.10585573242828e-05
5,5,polyligand (N=5),18,57.5,3.0637254901960784e-05,8.10585573242828e-05
5,5,polyligand (N=5),19,60,6.127450980392157e-05,0.000106131
5,5,polyligand (N=5),20,62.5,0,0
10,1,monoligand (N=1),0,12.5,0.018872549019607842,0.001535535
10,1,monoligand (N=1),1,15,0.020741422,0.001187762
10,1,monoligand (N=1),2,17.5,0.019270833333333334,0.001972002
10,1,monoligand (N=1),3,20,0.01997549,0.002344501
10,1,monoligand (N=1),4,22.5,0.019362745098039216,0.002039622
10,1,monoligand (N=1),5,25,0.020006127,0.003150577
10,1,monoligand (N=1),6,27.5,0.019485294,0.002347701
10,1,monoligand (N=1),7,30,0.020894607843137254,0.002100384
10,1,monoligand (N=1),8,32.5,0.019148284,0.001350474
10,1,monoligand (N=1),9,35,0.019883578431372548,0.001557084
10,1,monoligand (N=1),10,37.5,0.018780637,0.001569094
10,1,monoligand (N=1),11,40,0.020741422,0.001267287
10,1,monoligand (N=1),12,42.5,0.019607843,0.001933791
10,1,monoligand (N=1),13,45,0.018872549019607842,0.002136715
10,1,monoligand (N=1),14,47.5,0.020343137,0.002239665
10,1,monoligand (N=1),15,50,0.019607843,0.001510886
10,1,monoligand (N=1),16,52.5,0.020649509803921568,0.001723329
10,1,monoligand (N=1),17,55,0.019148284,0.00230717
